#  x/c         z/c 
  1.00000000  -0.03905480
  0.98818978  -0.03316075
  0.97638120  -0.02730288
  0.96457592  -0.02144706
  0.95277558  -0.01556619
  0.94098182  -0.00963966
  0.92919630  -0.00365285
  0.91742065   0.00240347
  0.90565653   0.00853364
  0.89390556   0.01473759
  0.88216939   0.02101136
  0.87044966   0.02734755
  0.85874800   0.03373582
  0.84706604   0.04016325
  0.83540541   0.04661483
  0.82376774   0.05307379
  0.81215465   0.05952199
  0.80056777   0.06594028
  0.78900870   0.07230881
  0.77747907   0.07860730
  0.76598047   0.08481536
  0.75451451   0.09091270
  0.74308280   0.09687937
  0.73168692   0.10269598
  0.72032847   0.10834384
  0.70900903   0.11380515
  0.69773018   0.11906314
  0.68649349   0.12410214
  0.67530053   0.12890772
  0.66415286   0.13346676
  0.65305204   0.13776750
  0.64199961   0.14179954
  0.63099712   0.14555396
  0.62004610   0.14902324
  0.60914808   0.15220129
  0.59830458   0.15508345
  0.58751710   0.15766644
  0.57678717   0.15994832
  0.56611626   0.16192845
  0.55550588   0.16360746
  0.54495749   0.16498714
  0.53447258   0.16607039
  0.52405261   0.16686120
  0.51369902   0.16736447
  0.50341326   0.16758604
  0.49319677   0.16753253
  0.48305098   0.16721131
  0.47297729   0.16663038
  0.46297711   0.16579835
  0.45305184   0.16472426
  0.44320286   0.16341763
  0.43343155   0.16188828
  0.42373927   0.16014631
  0.41412736   0.15820204
  0.40459718   0.15606592
  0.39515005   0.15374848
  0.38578729   0.15126028
  0.37651020   0.14861188
  0.36732008   0.14581376
  0.35821821   0.14287630
  0.34920586   0.13980974
  0.34028428   0.13662415
  0.33145473   0.13332942
  0.32271843   0.12993521
  0.31407660   0.12645098
  0.30553045   0.12288590
  0.29708117   0.11924894
  0.28872993   0.11554880
  0.28047791   0.11179390
  0.27232625   0.10799246
  0.26427609   0.10415241
  0.25632855   0.10028144
  0.24848475   0.09638704
  0.24074577   0.09247645
  0.23311270   0.08855671
  0.22558660   0.08463467
  0.21816852   0.08071696
  0.21085949   0.07681010
  0.20366054   0.07292039
  0.19657266   0.06905401
  0.18959686   0.06521702
  0.18273409   0.06141532
  0.17598532   0.05765473
  0.16935149   0.05394093
  0.16283352   0.05027953
  0.15643233   0.04667601
  0.15014880   0.04313577
  0.14398382   0.03966412
  0.13793823   0.03626626
  0.13201290   0.03294730
  0.12620863   0.02971224
  0.12052625   0.02656595
  0.11496654   0.02351318
  0.10953028   0.02055857
  0.10421823   0.01770656
  0.09903113   0.01496145
  0.09396970   0.01232736
  0.08903466   0.00980818
  0.08422667   0.00740761
  0.07954643   0.00512907
  0.07499458   0.00297573
  0.07057175   0.00095050
  0.06627856  -0.00094406
  0.06211562  -0.00270571
  0.05808350  -0.00433253
  0.05418276  -0.00582301
  0.05041395  -0.00717602
  0.04677759  -0.00839082
  0.04327420  -0.00946714
  0.03990426  -0.01040510
  0.03666823  -0.01120532
  0.03356658  -0.01186886
  0.03059973  -0.01239729
  0.02776810  -0.01279262
  0.02507209  -0.01305739
  0.02251206  -0.01319461
  0.02008838  -0.01320779
  0.01780138  -0.01310091
  0.01565139  -0.01287847
  0.01363870  -0.01254539
  0.01176359  -0.01210708
  0.01002633  -0.01156940
  0.00842715  -0.01093861
  0.00696629  -0.01022139
  0.00564394  -0.00942480
  0.00446029  -0.00855626
  0.00341551  -0.00762349
  0.00250973  -0.00663455
  0.00174309  -0.00559773
  0.00111570  -0.00452156
  0.00062763  -0.00341477
  0.00027896  -0.00228623
  0.00006974  -0.00114495
  0.00000000  -0.00000000
  0.00006974   0.00206836
  0.00027896   0.00413962
  0.00062763   0.00622205
  0.00111570   0.00832389
  0.00174309   0.01045323
  0.00250973   0.01261805
  0.00341551   0.01482611
  0.00446029   0.01708496
  0.00564394   0.01940189
  0.00696629   0.02178390
  0.00842715   0.02423766
  0.01002633   0.02676951
  0.01176359   0.02938538
  0.01363870   0.03209079
  0.01565139   0.03489084
  0.01780138   0.03779015
  0.02008838   0.04079286
  0.02251206   0.04390260
  0.02507209   0.04712249
  0.02776810   0.05045511
  0.03059973   0.05390248
  0.03356658   0.05746605
  0.03666823   0.06114671
  0.03990426   0.06494479
  0.04327420   0.06886000
  0.04677759   0.07289150
  0.05041395   0.07703786
  0.05418276   0.08129707
  0.05808350   0.08566658
  0.06211562   0.09014324
  0.06627856   0.09472339
  0.07057175   0.09940282
  0.07499458   0.10417681
  0.07954643   0.10904015
  0.08422667   0.11398717
  0.08903466   0.11901172
  0.09396970   0.12410725
  0.09903113   0.12926682
  0.10421823   0.13448311
  0.10953028   0.13974847
  0.11496654   0.14505494
  0.12052625   0.15039431
  0.12620863   0.15575813
  0.13201290   0.16113775
  0.13793823   0.16652434
  0.14398382   0.17190898
  0.15014880   0.17728262
  0.15643233   0.18263620
  0.16283352   0.18796061
  0.16935149   0.19324676
  0.17598532   0.19848564
  0.18273409   0.20366829
  0.18959686   0.20878590
  0.19657266   0.21382980
  0.20366054   0.21879149
  0.21085949   0.22366268
  0.21816852   0.22843532
  0.22558660   0.23310159
  0.23311270   0.23765396
  0.24074577   0.24208519
  0.24848475   0.24638833
  0.25632855   0.25055675
  0.26427609   0.25458414
  0.27232625   0.25846450
  0.28047791   0.26219217
  0.28872993   0.26576181
  0.29708117   0.26916839
  0.30553045   0.27240719
  0.31407660   0.27547376
  0.32271843   0.27836394
  0.33145473   0.28107384
  0.34028428   0.28359976
  0.34920586   0.28593823
  0.35821821   0.28808594
  0.36732008   0.29003974
  0.37651020   0.29179656
  0.38578729   0.29335343
  0.39515005   0.29470738
  0.40459718   0.29585546
  0.41412736   0.29679466
  0.42373927   0.29752190
  0.43343155   0.29803395
  0.44320286   0.29832743
  0.45305184   0.29839876
  0.46297711   0.29824411
  0.47297729   0.29785940
  0.48305098   0.29724021
  0.49319677   0.29638182
  0.50341326   0.29527917
  0.51369902   0.29392681
  0.52405261   0.29231892
  0.53447258   0.29044931
  0.54495749   0.28831141
  0.55550588   0.28589829
  0.56611626   0.28320267
  0.57678717   0.28021698
  0.58751710   0.27693338
  0.59830458   0.27334378
  0.60914808   0.26944000
  0.62004610   0.26521374
  0.63099712   0.26065675
  0.64199961   0.25576087
  0.65305204   0.25051823
  0.66415286   0.24492130
  0.67530053   0.23896308
  0.68649349   0.23263726
  0.69773018   0.22593842
  0.70900903   0.21886219
  0.72032847   0.21140546
  0.73168692   0.20356665
  0.74308280   0.19534594
  0.75451451   0.18674551
  0.76598047   0.17776982
  0.77747907   0.16842595
  0.78900870   0.15872384
  0.80056777   0.14867667
  0.81215465   0.13830117
  0.82376774   0.12761798
  0.83540541   0.11665201
  0.84706604   0.10543282
  0.85874800   0.09399501
  0.87044966   0.08237862
  0.88216939   0.07062952
  0.89390556   0.05879983
  0.90565653   0.04694836
  0.91742065   0.03514100
  0.92919630   0.02345116
  0.94098182   0.01196019
  0.95277558   0.00075783
  0.96457592  -0.01005742
  0.97638120  -0.02037783
  0.98818978  -0.03008607
  1.00000000  -0.03905480
