#Bernstein Polynomial order BO .................: 5
#Number of points of analitically smooth airfoil: 134
#Point spacing law .............................: 3
#Airfoil chord .................................:   0.87262000
#L.E. coordinates ..............................:   0.05902000  -0.16196000 
#Max thickness and x/c location ................:   0.15047204   0.27232625 
#Max camber and x/c location ...................:   0.23224489   0.47297729 
#     x/c       z/c upper    z/c lower    thickness    camber
  0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000 
  0.00006974   0.00206836  -0.00114495   0.00160666   0.00046171 
  0.00027896   0.00413962  -0.00228623   0.00321292   0.00092669 
  0.00062763   0.00622205  -0.00341477   0.00481841   0.00140364 
  0.00111570   0.00832389  -0.00452156   0.00642272   0.00190116 
  0.00174309   0.01045323  -0.00559773   0.00802548   0.00242775 
  0.00250973   0.01261805  -0.00663455   0.00962630   0.00299175 
  0.00341551   0.01482611  -0.00762349   0.01122480   0.00360131 
  0.00446029   0.01708496  -0.00855626   0.01282061   0.00426435 
  0.00564394   0.01940189  -0.00942480   0.01441334   0.00498854 
  0.00696629   0.02178390  -0.01022139   0.01600264   0.00578125 
  0.00842715   0.02423766  -0.01093861   0.01758814   0.00664953 
  0.01002633   0.02676951  -0.01156940   0.01916946   0.00760006 
  0.01176359   0.02938538  -0.01210708   0.02074623   0.00863915 
  0.01363870   0.03209079  -0.01254539   0.02231809   0.00977270 
  0.01565139   0.03489084  -0.01287847   0.02388465   0.01100619 
  0.01780138   0.03779015  -0.01310091   0.02544553   0.01234462 
  0.02008838   0.04079286  -0.01320779   0.02700032   0.01379254 
  0.02251206   0.04390260  -0.01319461   0.02854860   0.01535400 
  0.02507209   0.04712249  -0.01305739   0.03008994   0.01703255 
  0.02776810   0.05045511  -0.01279262   0.03162387   0.01883125 
  0.03059973   0.05390248  -0.01239729   0.03314988   0.02075260 
  0.03356658   0.05746605  -0.01186886   0.03466746   0.02279859 
  0.03666823   0.06114671  -0.01120532   0.03617602   0.02497070 
  0.03990426   0.06494479  -0.01040510   0.03767494   0.02726984 
  0.04327420   0.06886000  -0.00946714   0.03916357   0.02969643 
  0.04677759   0.07289150  -0.00839082   0.04064116   0.03225034 
  0.05041395   0.07703786  -0.00717602   0.04210694   0.03493092 
  0.05418276   0.08129707  -0.00582301   0.04356004   0.03773703 
  0.05808350   0.08566658  -0.00433253   0.04499955   0.04066702 
  0.06211562   0.09014324  -0.00270571   0.04642447   0.04371877 
  0.06627856   0.09472339  -0.00094406   0.04783373   0.04688966 
  0.07057175   0.09940282   0.00095050   0.04922616   0.05017666 
  0.07499458   0.10417681   0.00297573   0.05060054   0.05357627 
  0.07954643   0.10904015   0.00512907   0.05195554   0.05708461 
  0.08422667   0.11398717   0.00740761   0.05328978   0.06069739 
  0.08903466   0.11901172   0.00980818   0.05460177   0.06440995 
  0.09396970   0.12410725   0.01232736   0.05588995   0.06821731 
  0.09903113   0.12926682   0.01496145   0.05715268   0.07211414 
